[2017-06-02 14:10:04]	 ,----- FRAME: 5456 time: 40.66ms Moving avg: 20.56ms 3 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 39.49 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 39.70 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5459 time: 45.38ms Moving avg: 21.26ms 4 frames since last 
[2017-06-02 14:10:14]	 ,            Graphics_SubmissionIncFrame, 49.11 ms
[2017-06-02 14:10:14]	 ,        Civ6App_Graphics_IncFrame, 49.26 ms
[2017-06-02 14:10:14]	 ,----- FRAME: 5973 time: 51.13ms Moving avg: 15.51ms 515 frames since last 
[2017-06-02 14:10:16]	 ,            Graphics_SubmissionIncFrame, 32.50 ms
[2017-06-02 14:10:16]	 ,        Civ6App_Graphics_IncFrame, 32.73 ms
[2017-06-02 14:10:16]	 ,----- FRAME: 6057 time: 34.60ms Moving avg: 7.62ms 85 frames since last 
